No.,FREQ,NAME(全角28文字/半角14文字以内),MODE,BANK,SKIP,STEP,OFFSET,SHIFT_FREQ,ATT,SQ_TYPE,CTCSS,DCS,REV_EC,REV_FREQ,UC,GC,EC,WC,T61_LON,T61_LAT,DMR_SLOT,DMR_CC,DMR_GC,DSTAR_CS,C4FM_DG,LON,LAT
000,466.350000,消防署活系01ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
001,466.362500,消防署活系02ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
002,466.375000,消防署活系03ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
003,466.387500,消防署活系04ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
004,466.400000,消防署活系05ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
005,466.412500,消防署活系06ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
006,466.425000,消防署活系07ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
007,466.437500,消防署活系08ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
008,466.450000,消防署活系09ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
009,466.462500,消防署活系10ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
010,466.475000,消防署活系11ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
011,466.487500,消防署活系12ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
012,466.500000,消防署活系13ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
013,466.512500,消防署活系14ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
014,466.525000,消防署活系15ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
015,466.537500,消防署活系16ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
016,466.550000,消防署活系17ch,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
017,466.775000,防災相互連絡波,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
018,158.350000,防災相互連絡波,NFM,A,OFF,125k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
019,31.010000,消防艇専用波,FM,A,OFF,25k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
020,61.040000,東京消防庁/消防放送,FM,A,OFF,25k,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,AUTO,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
021,467.000000,ﾃﾞｼﾞﾀﾙ簡易無線3B_01ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
022,467.006250,ﾃﾞｼﾞﾀﾙ簡易無線3B_02ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
023,467.012500,ﾃﾞｼﾞﾀﾙ簡易無線3B_03ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
024,467.018750,ﾃﾞｼﾞﾀﾙ簡易無線3B_04ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
025,467.025000,ﾃﾞｼﾞﾀﾙ簡易無線3B_05ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
026,467.031250,ﾃﾞｼﾞﾀﾙ簡易無線3B_06ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
027,467.037500,ﾃﾞｼﾞﾀﾙ簡易無線3B_07ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
028,467.043750,ﾃﾞｼﾞﾀﾙ簡易無線3B_08ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
029,467.050000,ﾃﾞｼﾞﾀﾙ簡易無線3B_09ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
030,467.056250,ﾃﾞｼﾞﾀﾙ簡易無線3B_10ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
031,467.062500,ﾃﾞｼﾞﾀﾙ簡易無線3B_11ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
032,467.068750,ﾃﾞｼﾞﾀﾙ簡易無線3B_12ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
033,467.075000,ﾃﾞｼﾞﾀﾙ簡易無線3B_13ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
034,467.081250,ﾃﾞｼﾞﾀﾙ簡易無線3B_14ch,T98,B,OFF,6k25,OFF,0.000000,OFF,OFF,670,017,OFF,2500,OFF,ALL,OFF,228,123,23,AUTO,OFF,ALL,OFF,OFF,0.000000,0.000000
